State,Sex,Age Group,Bachelor's Degree Holders,Science and Engineering,Science and Engineering Related Fields,Business,Education,"Arts, Humanities and Others"
22,1,65,"204,268","91,517","10,706","39,301","16,524","46,220"
22,2,20,"1,159,484","391,335","146,283","167,081","147,779","307,006"
22,2,25,"414,543","161,771","50,200","60,653","30,696","111,223"
22,2,40,"534,088","179,401","65,734","93,525","58,542","136,886"
22,2,65,"210,853","50,163","30,349","12,903","58,541","58,897"
23,1,20,"982,192","429,576","67,140","234,427","66,609","184,440"
23,1,25,"302,029","137,600","22,339","68,558","10,813","62,719"
23,1,40,"446,274","195,810","29,635","114,716","24,565","81,548"
23,1,65,"233,889","96,166","15,166","51,153","31,231","40,173"
23,2,20,"1,088,603","264,476","164,376","204,100","207,535","248,116"
23,2,25,"356,940","106,703","53,519","60,771","41,322","94,625"
23,2,40,"515,281","124,308","80,369","121,169","82,477","106,958"
23,2,65,"216,382","33,465","30,488","22,160","83,736","46,533"
24,1,20,"676,302","295,922","32,408","161,641","54,638","131,693"
24,1,25,"226,348","101,876","10,086","55,162","12,022","47,202"
24,1,40,"307,414","132,464","15,288","79,930","21,606","58,126"
24,1,65,"142,540","61,582","7,034","26,549","21,010","26,365"
24,2,20,"756,924","200,313","106,588","121,376","139,717","188,930"
24,2,25,"273,462","85,386","38,287","44,005","31,338","74,446"
24,2,40,"351,526","92,925","48,117","68,263","57,790","84,431"
24,2,65,"131,936","22,002","20,184","9,108","50,589","30,053"
25,1,20,"185,595","68,269","14,765","48,540","20,853","33,168"
25,1,25,"51,923","18,950","4,837","13,004","4,135","10,997"
25,1,40,"82,688","30,945","6,913","22,456","6,729","15,645"
25,1,65,"50,984","18,374","3,015","13,080","9,989","6,526"
25,2,20,"256,156","51,528","40,714","41,567","71,538","50,809"
25,2,25,"76,905","21,421","14,353","11,039","13,139","16,953"
25,2,40,"125,263","22,949","20,459","25,092","33,005","23,758"
25,2,65,"53,988","7,158","5,902","5,436","25,394","10,098"
26,1,20,"588,139","230,130","37,572","150,837","47,417","122,183"
26,1,25,"192,916","74,819","13,633","48,562","10,164","45,738"
26,1,40,"263,373","101,908","16,202","71,823","19,329","54,111"
26,1,65,"131,850","53,403","7,737","30,452","17,924","22,334"
26,2,20,"683,142","153,694","99,998","127,038","148,277","154,135"
26,2,25,"246,447","66,081","36,307","46,020","35,779","62,260"
26,2,40,"314,327","68,060","46,480","68,117","63,105","68,565"
26,2,65,"122,368","19,553","17,211","12,901","49,393","23,310"
27,1,20,"120,349","55,474","8,403","22,901","11,583","21,988"
27,1,25,"36,095","15,440","3,180","7,181","2,245","8,049"
27,1,40,"50,472","24,849","2,501","10,227","4,204","8,691"
27,1,65,"33,782","15,185","2,722","5,493","5,134","5,248"
27,2,20,"128,799","35,856","18,427","16,243","29,518","28,755"
27,2,25,"41,154","13,787","5,947","6,170","5,895","9,355"
27,2,40,"58,562","16,640","8,388","8,228","12,779","12,527"
27,2,65,"29,083","5,429","4,092","1,845","10,844","6,873"
28,1,20,"197,284","70,657","9,368","54,649","20,552","42,058"
28,1,25,"67,464","25,275","3,212","17,405","4,514","17,058"
28,1,40,"88,774","31,903","3,788","27,471","7,051","18,561"
28,1,65,"41,046","13,479","2,368","9,773","8,987","6,439"
28,2,20,"225,303","47,847","34,892","37,815","55,604","49,145"
28,2,25,"88,667","25,624","13,385","12,969","15,385","21,304"
28,2,40,"98,467","18,833","14,113","21,531","23,061","20,929"
28,2,65,"38,169","3,390","7,394","3,315","17,158","6,912"
29,1,20,"263,386","105,117","16,603","68,664","18,239","54,763"
29,1,25,"74,086","29,243","5,680","18,728","3,172","17,263"
29,1,40,"115,498","43,914","7,368","31,720","6,807","25,689"
29,1,65,"73,802","31,960","3,555","18,216","8,260","11,811"
29,2,20,"285,533","71,873","41,304","56,530","47,933","67,893"
29,2,25,"94,502","26,705","11,860","18,938","12,112","24,887"
29,2,40,"129,044","32,071","20,139","29,138","18,245","29,451"
29,2,65,"61,987","13,097","9,305","8,454","17,576","13,555"
30,1,20,"171,451","79,027","9,774","37,991","7,938","36,721"
30,1,25,"46,574","20,341","3,157","10,945",954,"11,177"
30,1,40,"79,326","37,220","4,761","16,816","2,748","17,781"
30,1,65,"45,551","21,466","1,856","10,230","4,236","7,763"
30,2,20,"196,786","58,595","26,868","31,931","31,741","47,651"
30,2,25,"58,079","20,934","7,540","8,273","5,305","16,027"
30,2,40,"96,434","29,096","13,221","19,487","13,794","20,836"
30,2,65,"42,273","8,565","6,107","4,171","12,642","10,788"
31,1,20,"1,213,828","550,850","65,574","306,859","57,122","233,423"
31,1,25,"376,463","173,313","21,119","88,554","11,696","81,781"
31,1,40,"591,688","265,204","32,105","161,490","22,750","110,139"
31,1,65,"245,677","112,333","12,350","56,815","22,676","41,503"
31,2,20,"1,337,937","414,404","160,033","244,615","211,081","307,804"
31,2,25,"453,331","163,686","48,202","81,730","48,763","110,950"
31,2,40,"654,745","197,081","81,688","142,079","86,706","147,191"
31,2,65,"229,861","53,637","30,143","20,806","75,612","49,663"
32,1,20,"179,680","83,178","13,261","28,199","15,664","39,378"
32,1,25,"46,313","20,836","3,642","5,603","3,396","12,836"
32,1,40,"73,841","36,187","5,338","12,174","5,410","14,732"
32,1,65,"59,526","26,155","4,281","10,422","6,858","11,810"
32,2,20,"214,918","64,642","28,396","26,493","41,595","53,792"
32,2,25,"59,715","22,417","8,641","5,666","6,157","16,834"
32,2,40,"95,240","29,332","12,998","16,565","16,385","19,960"
32,2,65,"59,963","12,893","6,757","4,262","19,053","16,998"
33,1,20,"2,374,327","993,558","134,007","518,561","124,703","603,498"
33,1,25,"866,998","354,724","48,875","195,587","27,933","239,879"
33,1,40,"1,024,485","432,850","57,816","237,410","51,104","245,305"
33,1,65,"482,844","205,984","27,316","85,564","45,666","118,314"
33,2,20,"2,791,891","795,521","345,664","446,326","420,839","783,541"
33,2,25,"1,056,330","333,123","122,992","178,149","100,615","321,451"
33,2,40,"1,229,159","344,796","158,105","232,724","172,044","321,490"
33,2,65,"506,402","117,602","64,567","35,453","148,180","140,600"
34,1,20,"1,051,730","461,980","59,967","247,236","53,236","229,311"
34,1,25,"314,558","144,872","16,081","61,554","9,757","82,294"
34,1,40,"499,781","217,515","31,108","129,184","20,470","101,504"
34,1,65,"237,391","99,593","12,778","56,498","23,009","45,513"
34,2,20,"1,269,455","338,941","173,195","224,461","227,727","305,131"
34,2,25,"422,603","132,477","59,645","70,047","48,333","112,101"
34,2,40,"608,835","162,264","82,239","133,061","91,596","139,675"
34,2,65,"238,017","44,200","31,311","21,353","87,798","53,355"
35,1,20,"68,538","26,628","4,810","17,009","8,260","11,831"
35,1,25,"26,020","9,451","1,580","6,657","2,219","6,113"
35,1,40,"28,092","11,890","1,881","7,463","2,983","3,875"
35,1,65,"14,426","5,287","1,349","2,889","3,058","1,843"
35,2,20,"84,859","15,381","19,207","14,199","20,773","15,299"
35,2,25,"34,695","8,138","8,918","5,122","4,961","7,556"
35,2,40,"36,002","5,614","7,421","8,118","9,072","5,777"
35,2,65,"14,162","1,629","2,868",959,"6,740","1,966"
36,1,20,"1,105,502","444,488","73,416","282,918","88,420","216,260"
36,1,25,"353,231","151,504","24,966","80,787","17,422","78,552"
36,1,40,"503,700","195,685","34,618","142,988","33,383","97,026"
36,1,65,"248,571","97,299","13,832","59,143","37,615","40,682"
36,2,20,"1,251,083","282,260","203,796","220,359","262,782","281,886"
36,2,25,"431,684","115,692","72,908","73,403","56,812","112,869"
36,2,40,"585,292","130,644","98,917","125,824","105,075","124,832"
36,2,65,"234,107","35,924","31,971","21,132","100,895","44,185"
37,1,20,"319,102","122,824","22,610","82,393","30,950","60,325"
37,1,25,"94,132","38,081","6,869","23,335","4,941","20,906"
37,1,40,"141,875","51,068","11,244","38,207","13,100","28,256"
37,1,65,"83,095","33,675","4,497","20,851","12,909","11,163"
37,2,20,"367,407","77,450","48,243","71,969","93,851","75,894"
37,2,25,"122,866","33,644","16,383","23,737","18,440","30,662"
37,2,40,"170,195","33,985","22,372","40,035","42,006","31,797"
37,2,65,"74,346","9,821","9,488","8,197","33,405","13,435"
38,1,20,"489,080","242,088","24,890","81,980","29,149","110,973"
38,1,25,"145,881","74,942","6,126","24,483","3,342","36,988"
38,1,40,"214,065","105,419","11,077","38,361","11,222","47,986"
38,1,65,"129,134","61,727","7,687","19,136","14,585","25,999"
38,2,20,"543,236","177,976","62,096","68,009","81,700","153,455"
38,2,25,"184,551","71,861","21,999","19,379","13,731","57,581"
38,2,40,"238,063","79,120","25,916","39,543","28,886","64,598"
38,2,65,"120,622","26,995","14,181","9,087","39,083","31,276"
39,1,20,"1,377,441","577,821","80,964","323,941","106,089","288,626"
39,1,25,"459,165","194,035","27,284","107,611","18,003","112,232"
39,1,40,"605,481","252,906","36,144","155,315","41,190","119,926"
39,1,65,"312,795","130,880","17,536","61,015","46,896","56,468"
39,2,20,"1,539,961","394,837","244,196","233,347","296,855","370,726"
39,2,25,"541,634","168,689","79,532","80,663","67,661","145,089"
39,2,40,"709,567","175,996","121,259","131,079","117,030","164,203"
39,2,65,"288,760","50,152","43,405","21,605","112,164","61,434"
40,1,20,"122,090","51,211","5,892","29,010","6,876","29,101"
40,1,25,"41,423","17,036","2,419","9,896",893,"11,179"
40,1,40,"53,375","23,179","2,599","13,447","2,853","11,297"
40,1,65,"27,292","10,996",874,"5,667","3,130","6,625"
40,2,20,"138,185","39,235","19,262","18,241","22,781","38,666"
40,2,25,"48,806","16,878","6,698","7,179","4,472","13,579"
40,2,40,"61,741","17,262","8,468","9,699","10,041","16,271"
40,2,65,"27,638","5,095","4,096","1,363","8,268","8,816"
41,1,20,"482,563","190,893","26,509","137,994","31,553","95,614"
41,1,25,"136,217","53,419","6,406","36,021","6,709","33,662"
41,1,40,"209,310","80,453","11,232","64,460","11,863","41,302"
41,1,65,"137,036","57,021","8,871","37,513","12,981","20,650"
41,2,20,"571,996","136,768","79,851","106,614","126,986","121,777"
41,2,25,"180,074","52,089","27,673","33,184","24,457","42,671"
41,2,40,"265,767","64,315","37,592","60,063","51,654","52,143"
41,2,65,"126,155","20,364","14,586","13,367","50,875","26,963"
42,1,20,"83,494","33,925","5,595","19,586","9,651","14,737"
42,1,25,"28,744","12,000","1,633","6,695","1,784","6,632"
42,1,40,"35,011","13,675","2,619","9,169","3,390","6,158"
42,1,65,"19,739","8,250","1,343","3,722","4,477","1,947"
42,2,20,"91,290","18,909","16,789","15,136","24,353","16,103"
42,2,25,"31,668","7,712","6,822","5,872","5,466","5,796"
42,2,40,"41,238","8,666","6,749","7,134","11,048","7,641"
42,2,65,"18,384","2,531","3,218","2,130","7,839","2,666"
43,1,20,"612,435","240,976","36,512","163,513","37,615","133,819"
43,1,25,"196,268","76,984","11,315","49,367","7,162","51,440"
43,1,40,"280,234","106,718","17,161","81,042","14,861","60,452"
43,1,65,"135,933","57,274","8,036","33,104","15,592","21,927"
43,2,20,"735,789","173,972","105,593","138,768","147,026","170,430"
43,2,25,"264,001","73,129","40,178","46,103","31,752","72,839"
43,2,40,"344,955","80,675","47,362","78,385","66,946","71,587"
43,2,65,"126,833","20,168","18,053","14,280","48,328","26,004"
44,1,20,"2,784,546","1,229,255","173,734","731,474","139,350","510,733"
44,1,25,"949,187","430,219","60,050","224,919","23,566","210,433"
